phase,episode,timestep,return,episode_length,food_collected,total_food_collected,final_snake_length,max_snake_length,epsilon
train,268,81575,483.82000000000085,180,5,525,6,6,0.05
train,269,82589,883.9860000000101,1014,9,534,10,10,0.05
train,270,83293,278.79599999999965,704,3,537,4,4,0.05
train,271,84440,378.85300000000154,1147,4,541,5,5,0.05
train,272,86033,299.4070000000047,1593,3,544,4,4,0.05
train,273,86487,693.0460000000057,454,7,551,8,8,0.05
train,274,86881,392.1060000000026,394,4,555,5,5,0.05
validation,275,90000,110.49999999999524,1000,1,555,2,2,0.0
train,275,90246,312.6350000000004,3365,4,559,5,5,0.05
train,276,91594,811.1520000000064,1348,8,567,9,9,0.05
train,277,92198,603.8960000000068,604,6,573,7,7,0.05
