game_index,food_eaten,kills,num_ticks_lived
888,1,1,32
889,14,1,353
890,15,3,361
891,4,0,171
892,22,1,286
893,2,0,17
894,2,0,45
895,3,0,34
896,1,0,36
897,4,0,76
898,17,1,281
899,23,1,282
900,3,0,50
901,2,0,35
902,1,0,22
903,3,1,35
904,22,3,326
905,14,2,202
906,3,0,39
907,8,1,102
908,13,1,186
909,19,1,178
910,13,3,176
911,10,1,121
912,18,2,184
913,2,0,46
914,10,1,113
915,1,0,58
916,4,1,36
917,1,0,10
918,15,2,186
919,1,0,9
920,1,0,45
921,2,0,27
922,4,0,57
923,25,0,408
924,16,0,187
925,1,0,9
926,7,2,51
927,10,1,177
928,2,0,65
929,2,1,60
930,6,0,111
931,14,0,228
932,1,1,17
933,1,0,55
934,12,2,165
935,6,0,92
936,22,1,363
937,24,3,267
938,7,0,136
939,0,0,251
940,8,0,122
941,32,2,369
942,1,0,35
943,5,0,75
944,6,1,91
945,0,0,36
946,20,1,242
947,4,1,67
948,11,1,150
949,14,0,403
950,1,1,10
951,1,1,31
952,2,0,75
953,6,1,97
954,4,1,37
955,25,2,365
956,2,1,21
957,36,2,370
958,7,2,88
959,0,0,17
960,6,0,116
961,9,0,366
962,5,0,67
963,3,0,28
964,3,1,49
965,4,1,98
966,36,2,504
967,15,1,183
968,7,0,97
969,1,2,27
970,0,0,15
971,12,0,152
972,12,1,72
973,0,0,20
974,2,0,41
975,10,2,121
976,2,0,28
977,2,0,29
978,8,2,149
979,13,0,127
980,5,1,68
981,5,1,42
982,4,1,76
983,1,0,20
984,31,0,590
985,4,0,335
986,4,0,70
987,1,0,38
988,0,0,10
989,8,0,371
990,1,0,64
991,3,1,83
992,26,1,271
993,20,1,260
994,2,0,79
995,22,2,283
996,2,0,40
997,7,0,174
998,12,1,177
999,11,1,133
1000,3,0,58
1001,23,1,254
1002,2,2,97
1003,0,0,26
1004,8,0,336
1005,2,0,29
1006,12,0,239
1007,0,0,10
1008,3,1,50
1009,1,0,78
1010,1,0,30
1011,1,0,14
1012,5,0,49
1013,8,0,67
1014,3,0,52
1015,3,1,62
1016,8,1,142
1017,4,0,57
1018,11,1,376
1019,32,1,488
1020,3,0,61
1021,3,0,54
1022,2,0,19
1023,0,0,251
1024,4,0,81
1025,13,2,220
1026,3,1,26
1027,2,2,43
1028,3,1,29
1029,16,1,168
1030,3,1,34
1031,15,1,198
1032,0,0,9
1033,17,3,260
1034,2,1,29
1035,7,0,89
1036,3,1,35
1037,4,3,87
1038,3,0,32
1039,0,0,9
1040,5,0,141
1041,4,0,65
1042,0,0,20
1043,2,1,54
1044,3,0,16
1045,17,1,191
1046,12,1,166
1047,21,2,421
1048,1,0,27
1049,6,2,97
1050,10,0,191
1051,4,0,142
1052,6,1,73
1053,18,2,302
1054,10,2,82
1055,5,0,58
1056,5,1,146
1057,22,2,308
1058,5,2,81
1059,1,0,20
1060,2,0,299
1061,2,0,44
1062,0,0,251
1063,1,0,15
1064,5,1,302
1065,11,3,83
1066,6,1,105
1067,0,0,20
1068,4,1,32
1069,15,1,183
1070,4,2,46
1071,4,0,55
1072,19,2,346
1073,3,1,43
1074,6,0,114
1075,23,2,194
1076,2,0,28
1077,9,0,271
1078,16,2,270
1079,5,0,66
1080,25,5,390
1081,7,1,118
1082,19,2,314
1083,14,1,227
1084,1,0,54
1085,5,1,64
1086,2,0,63
1087,7,1,116
1088,21,3,306
1089,12,0,451
1090,2,0,25
1091,8,2,58
1092,6,2,98
1093,0,0,251
1094,17,0,213
1095,29,2,577
1096,0,0,23
1097,9,0,171
1098,23,1,319
1099,2,0,36
1100,6,2,59
1101,13,0,151
1102,7,0,89
1103,2,1,89
1104,12,2,78
1105,11,2,329
1106,0,0,9
1107,1,0,11
1108,3,0,65
1109,7,1,94
1110,15,1,183
1111,9,0,71
1112,11,0,132
1113,1,0,37
1114,19,0,287
1115,4,0,44
1116,2,1,11
1117,8,0,118
1118,3,0,44
1119,0,0,7
1120,6,1,77
1121,1,0,26
1122,4,1,57
1123,7,1,74
1124,2,1,28
1125,0,0,82
1126,2,0,63
1127,1,0,46
1128,7,0,73
1129,2,0,83
1130,3,1,109
1131,7,0,118
1132,26,2,382
1133,28,1,549
1134,4,1,59
1135,2,0,286
1136,1,0,9
1137,11,2,122
1138,1,0,135
1139,8,1,126
1140,3,0,89
1141,8,1,124
1142,34,3,515
1143,14,1,279
1144,4,0,97
1145,2,0,30
1146,8,1,125
1147,13,1,164
1148,9,0,122
1149,3,1,35
1150,6,2,78
1151,8,0,115
1152,12,1,137
1153,1,1,27
1154,13,0,169
