game_index,food_eaten,kills,num_ticks_lived
905,0,1,24
906,3,0,37
907,16,2,240
908,0,0,40
909,0,1,12
910,1,1,15
911,8,1,112
912,2,0,20
913,24,1,284
914,2,0,50
915,5,1,104
916,10,2,82
917,11,1,123
918,0,1,24
919,16,2,250
920,2,1,99
921,16,1,182
922,13,3,169
923,1,0,16
924,8,2,78
925,19,2,307
926,9,1,79
927,3,0,62
928,13,2,161
929,19,1,217
930,13,3,137
931,0,0,16
932,15,1,202
933,1,1,37
934,6,2,68
935,3,1,47
936,0,0,31
937,4,0,81
938,4,0,126
939,1,1,12
940,12,3,124
941,7,2,86
942,0,1,16
943,3,0,49
944,4,0,80
945,9,2,149
946,14,0,245
947,3,1,37
948,32,2,412
949,9,1,161
950,17,2,203
951,2,1,31
952,4,0,43
953,3,1,24
954,2,2,90
955,0,0,18
956,1,1,21
957,0,0,18
958,22,2,232
959,4,0,36
960,9,2,118
961,4,1,61
962,14,2,165
963,8,3,67
964,17,1,188
965,1,0,39
966,8,2,165
967,3,0,50
968,2,0,47
969,8,1,127
970,23,3,263
971,7,1,122
972,19,1,214
973,5,1,88
974,3,2,42
975,12,1,154
976,0,1,31
977,20,0,223
978,9,1,102
979,7,0,107
980,1,1,25
981,10,1,144
982,2,0,27
983,5,1,56
984,5,0,79
985,3,0,36
986,4,1,55
987,10,0,83
988,21,2,215
989,6,1,76
990,12,1,126
991,12,2,213
992,2,0,40
993,9,0,136
994,2,1,54
995,3,0,40
996,9,2,103
997,35,2,502
998,1,0,20
999,5,0,133
1000,23,3,275
1001,13,1,168
1002,1,0,33
1003,13,1,160
1004,5,1,57
1005,0,1,34
1006,13,1,170
1007,14,0,138
1008,20,1,202
1009,2,1,37
1010,2,1,30
1011,10,2,164
1012,1,0,58
1013,9,3,90
1014,11,1,220
1015,13,1,162
1016,1,0,21
1017,8,2,98
1018,7,0,153
1019,3,0,54
1020,2,1,26
1021,3,0,66
1022,15,2,150
1023,1,1,11
1024,18,1,190
1025,13,1,123
1026,8,0,57
1027,2,0,45
1028,0,1,16
1029,1,1,13
1030,1,0,41
1031,14,1,192
1032,7,0,86
1033,0,0,10
1034,4,1,71
1035,14,2,200
1036,26,1,345
1037,23,1,329
1038,9,1,127
1039,3,1,42
1040,6,2,84
1041,18,1,340
1042,7,1,73
1043,15,1,157
1044,31,2,426
1045,8,1,82
1046,22,1,257
1047,2,0,65
1048,7,0,88
1049,17,1,265
1050,19,3,218
1051,9,0,122
1052,24,1,238
1053,1,0,36
1054,0,0,12
1055,3,0,52
1056,4,1,69
1057,0,1,19
1058,19,0,227
1059,7,1,122
1060,5,0,31
1061,6,1,69
1062,2,1,65
1063,8,1,96
1064,1,0,30
1065,0,1,8
1066,4,2,59
1067,15,2,194
1068,6,1,60
1069,1,0,18
1070,12,0,135
1071,2,1,55
1072,6,2,110
1073,8,0,87
1074,4,0,74
1075,8,1,158
1076,14,1,151
1077,2,0,27
1078,2,0,32
1079,14,1,146
1080,0,0,18
1081,6,1,109
1082,0,0,9
1083,23,2,289
1084,2,0,32
1085,10,3,215
1086,2,0,61
1087,4,0,75
1088,0,1,20
1089,9,1,168
1090,23,2,221
1091,3,0,310
1092,16,2,200
1093,9,0,135
1094,0,0,35
1095,1,0,34
1096,8,3,104
1097,7,0,92
1098,1,0,33
1099,4,0,37
1100,16,1,159
1101,2,2,58
1102,4,0,329
1103,10,2,133
1104,26,1,271
1105,8,2,148
1106,0,1,29
1107,13,2,178
1108,12,2,109
1109,17,1,158
1110,2,0,31
1111,12,3,84
1112,22,1,269
1113,6,2,98
1114,0,1,57
1115,12,2,186
1116,3,0,78
1117,15,1,198
1118,10,3,82
1119,1,1,15
1120,1,0,26
1121,5,2,101
1122,2,1,57
1123,12,1,136
1124,22,1,320
1125,1,1,28
1126,1,1,39
1127,15,1,220
1128,20,3,213
1129,10,1,176
1130,22,1,280
1131,9,2,127
1132,3,1,25
1133,4,0,39
1134,28,2,379
1135,2,0,30
1136,14,4,138
1137,20,2,207
1138,1,0,15
1139,8,1,113
1140,14,2,143
1141,16,0,155
1142,0,0,20
1143,1,0,23
1144,3,0,94
1145,17,1,147
1146,17,2,196
1147,14,0,231
1148,15,4,136
1149,3,0,25
1150,32,0,467
1151,17,2,202
1152,7,3,135
1153,16,1,193
1154,23,2,238
