game_index,food_eaten,kills,num_ticks_lived
144,1,0,281
145,2,0,61
146,5,1,59
147,0,0,10
148,1,1,12
149,0,0,94
150,4,3,67
151,1,2,23
152,5,0,134
153,1,1,56
154,2,0,36
155,5,1,127
156,3,1,123
157,4,1,158
158,1,0,30
159,2,0,35
160,7,1,112
161,2,0,284
162,2,1,78
163,0,0,47
164,6,2,105
165,2,0,18
166,2,0,55
167,1,0,40
168,1,0,22
169,6,0,322
170,7,0,167
171,0,0,27
172,1,1,76
173,0,0,57
174,0,0,40
175,1,0,51
176,0,0,29
177,4,1,180
178,5,1,121
179,2,0,273
180,1,0,16
181,9,1,80
182,0,0,11
183,1,0,128
184,6,0,348
185,2,0,65
186,1,0,27
187,8,2,93
188,2,0,275
189,0,0,45
190,4,1,113
191,13,1,329
192,0,0,62
193,8,0,359
194,1,1,33
195,7,1,134
196,5,2,57
197,2,0,78
198,9,1,400
199,2,0,90
200,5,1,84
201,1,1,65
202,5,0,142
203,0,0,22
204,2,0,38
205,4,1,39
206,3,0,43
207,1,0,23
208,2,0,307
209,4,1,59
210,5,0,104
211,8,2,336
212,5,2,94
213,10,1,141
214,0,0,47
215,0,0,28
216,22,1,243
217,1,0,18
218,1,0,37
219,4,1,71
220,5,0,85
221,9,1,209
222,4,0,66
223,4,1,172
224,8,0,126
225,1,1,19
226,2,0,45
227,4,1,91
228,4,3,84
229,6,1,83
230,5,0,84
231,1,2,27
232,1,1,105
233,1,0,52
234,3,2,56
235,3,0,20
236,4,0,115
237,2,0,85
238,0,0,18
239,4,0,157
240,7,3,128
241,3,1,79
242,7,3,116
243,7,1,161
244,0,0,18
245,0,0,74
246,1,1,16
247,0,0,251
248,3,0,57
249,9,1,138
250,0,0,24
251,8,2,134
252,1,0,19
253,1,1,75
254,0,0,44
255,5,1,91
256,7,0,123
257,9,0,99
258,3,0,39
259,0,0,37
260,2,0,41
261,7,1,65
262,2,0,44
263,8,1,323
264,1,0,134
265,7,0,72
266,2,1,104
267,1,1,254
268,3,0,33
269,2,1,140
270,2,1,50
271,1,0,65
272,4,0,138
273,3,0,84
274,9,1,76
275,5,2,63
276,3,0,147
277,0,1,24
278,0,0,35
279,1,1,120
280,6,2,146
281,4,0,59
282,6,2,79
283,2,0,295
284,0,1,54
285,8,1,182
286,0,0,78
287,10,0,359
288,2,0,66
289,4,1,99
290,3,0,428
291,0,0,32
292,0,0,26
293,9,1,161
294,0,0,50
295,0,0,60
296,0,0,99
297,0,0,251
298,7,1,111
299,2,1,63
300,0,1,38
301,0,0,87
302,0,0,27
303,7,1,81
304,1,2,23
305,6,1,196
306,1,0,28
307,8,1,93
308,4,1,95
309,8,1,131
310,1,0,74
311,1,0,61
312,5,2,122
313,0,0,68
314,3,0,70
315,2,0,36
316,0,0,12
317,2,0,47
318,2,0,43
319,2,1,283
320,2,0,67
321,2,0,107
322,0,0,36
323,1,1,49
324,14,1,103
325,4,1,127
326,3,0,82
327,9,1,166
328,0,0,41
329,3,0,320
330,4,2,41
331,1,0,63
332,0,0,41
333,4,1,71
334,1,0,75
335,0,0,11
336,8,2,141
337,7,2,194
338,7,0,95
339,6,1,116
340,5,1,90
341,0,0,34
342,6,3,102
343,5,1,45
344,6,1,81
345,2,0,117
346,4,1,94
347,7,2,94
348,4,2,347
349,6,2,82
350,2,0,48
351,0,0,251
352,12,0,161
353,1,0,24
354,8,1,132
355,2,0,85
356,14,1,239
357,0,0,12
358,2,1,52
359,1,0,285
360,5,0,419
361,1,0,87
362,9,2,126
363,2,1,29
364,4,1,117
365,7,1,91
366,7,2,218
367,1,1,63
368,7,3,133
369,4,1,96
370,5,1,95
371,0,0,14
372,9,2,96
373,2,0,89
374,6,1,118
375,6,1,104
376,1,1,61
377,0,0,30
378,3,0,49
379,8,1,133
380,3,0,72
381,3,0,63
382,1,0,176
383,6,1,101
384,2,0,119
385,1,0,25
386,1,0,41
387,0,0,27
388,7,1,65
389,4,0,91
390,7,1,156
391,4,0,60
392,7,0,170
393,2,0,157
394,1,0,15
395,3,0,307
396,1,0,16
397,2,0,73
